0,0.1741081,0.8589435,0.7105014
1,0.5135350,0.3039949,0.0149846
2,0.0914029,0.3644520,0.1473128
3,0.1658986,0.9885250,0.4456923
4,0.1190832,0.0046693,0.0089114
5,0.3778802,0.5316629,0.5711844
6,0.6017640,0.6071658,0.1662343
7,0.6630451,0.4507889,0.3521226
8,0.0570391,0.6076846,0.7833186
9,0.8026063,0.5198828,0.3019501
10,0.8759727,0.7266762,0.9559007
11,0.9257179,0.5393536,0.1423383
12,0.4620807,0.2353282,0.8622394
13,0.2096011,0.7796564,0.8436537
14,0.9967955,0.9996948,0.6114994
15,0.3924375,0.2662130,0.2972808
16,0.8401440,0.0237434,0.3758660
17,0.0926237,0.6772057,0.0562151
18,0.0087893,0.9187902,0.2758873
19,0.2728965,0.5879086,0.6911832
20,0.8376110,0.7264931,0.4849391
21,0.2053591,0.7437361,0.4684591
22,0.4579608,0.9491562,0.7444380
23,0.1082797,0.5990478,0.3852351
24,0.7350078,0.6089664,0.5724052
25,0.3613392,0.1515549,0.2251045
26,0.4251533,0.8028809,0.5171056
27,0.9899899,0.7515488,0.3455611
28,0.1689810,0.6573077,0.4918973
29,0.0635395,0.6997589,0.5048066
30,0.1474960,0.9495834,0.1415754
31,0.9051179,0.6928923,0.3030488
32,0.4265572,0.0703757,0.9666128
33,0.6831874,0.1532334,0.8772545
34,0.8216804,0.5820490,0.1913511
35,0.1778924,0.8171941,0.4752648
36,0.1555528,0.5039216,0.7320170
37,0.4055910,0.2795801,0.5687429
38,0.6822413,0.7558519,0.7219154
39,0.4752953,0.1230201,0.3678091
40,0.8346812,0.0350963,0.5170141
41,0.6629841,0.4262215,0.1046785
42,0.9493393,0.9213843,0.5495468
43,0.3459883,0.4717246,0.3749809
44,0.8469802,0.3168737,0.4560991
45,0.2718894,0.9829707,0.2977996
46,0.7391888,0.5672780,0.1959899
47,0.7613147,0.8394421,0.3976562
48,0.5009003,0.8901639,0.0274667
49,0.9946287,0.5725883,0.0505081
50,0.5313272,0.1940672,0.8430433
51,0.6267586,0.6576129,0.1978515
52,0.8421583,0.1233253,0.1099277
53,0.7431257,0.3140660,0.9410688
54,0.2860805,0.3363140,0.1402631
55,0.7330851,0.8346202,0.7079989
56,0.6002380,0.7472152,0.2527238
57,0.1444746,0.0016175,0.0610065
58,0.8062380,0.8526261,0.2105777
59,0.1156041,0.5532090,0.0142521
60,0.1137730,0.4545121,0.7522202
61,0.6861476,0.5434431,0.0738853
62,0.4367199,0.2019410,0.6962187
63,0.2903531,0.4366893,0.2324290
64,0.5778680,0.5325785,0.6286813
65,0.1601917,0.5041353,0.9630421
66,0.6957610,0.9248024,0.1899472
67,0.3359478,0.1783502,0.9951781
68,0.4574419,0.9980163,0.0975066
69,0.6251717,0.0943938,0.4377270
70,0.9315165,0.0484329,0.8946196
71,0.2900174,0.2273019,0.7690665
72,0.4107181,0.2019715,0.6280710
73,0.6041444,0.4516129,0.4663534
74,0.5978271,0.6347240,0.8547930
75,0.8287911,0.6247749,0.7209082
76,0.5657521,0.3751335,0.1842708
77,0.7379071,0.5551317,0.9050874
78,0.2428663,0.1889401,0.6047243
79,0.6985077,0.5846125,0.3512986
80,0.4944609,0.0803858,0.7407452
81,0.6120487,0.6203803,0.6911222
82,0.8045290,0.1491134,0.5760369
83,0.8677328,0.9115574,0.6147038
84,0.7276834,0.0432142,0.6677755
85,0.9765313,0.3150121,0.5692007
86,0.3058260,0.1739250,0.1085543
87,0.8690451,0.8512223,0.7443159
88,0.1548814,0.3269143,0.0793481
89,0.0766015,0.6409802,0.8200018
90,0.5450911,0.4482559,0.4089786
91,0.2987457,0.4655599,0.5012055
92,0.1526536,0.3230384,0.7379986
93,0.3138829,0.8266854,0.9590747
94,0.8733482,0.7250282,0.3000580
95,0.9439985,0.1272317,0.0657369
96,0.7849666,0.5245827,0.6096377
97,0.9561144,0.0722678,0.8756371
98,0.6538591,0.3221229,0.1048006
99,0.5050508,0.2270882,0.2902921
